no;q2;sex;age;work;educ;tenure
1215;not changed;female;35-44;full or part time;medium (A-Level);mortgage
1216;up by 5% or more;male;55-64;full or part time;low (GCSE);mortgage
1217;up by 1% but less than 2%;male;15-24;full or part time;high (Degree);mortgage
1218;Gone down;male;45-54;not working;medium (A-Level);mortgage
1219;up by 1% or less;male;25-34;not working;high (Degree);other (inc private rent pre-2016)
1220;up by 1% but less than 2%;male;55-64;full or part time;medium (A-Level);mortgage
1221;up by 1% but less than 2%;female;35-44;not working;high (Degree);other (inc private rent pre-2016)
1222;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
1223;up by 5% or more;male;65+;not working;high (Degree);owned outright
1224;Gone down;male;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
1225;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
1226;not changed;female;55-64;full or part time;low (GCSE);mortgage
1227;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
1228;up by 1% or less;female;65+;not working;medium (A-Level);owned outright
1229;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
1230;Gone down;male;65+;not working;low (GCSE);owned outright
1231;Gone down;male;55-64;not working;high (Degree);mortgage
1232;up by 3% but less than 4%;male;55-64;full or part time;low (GCSE);owned outright
1233;up by 1% but less than 2%;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
1234;up by 2% but less than 3%;female;45-54;not working;low (GCSE);council rent
1235;not changed;female;35-44;not working;medium (A-Level);council rent
1236;up by 5% or more;female;35-44;not working;medium (A-Level);mortgage
1237;up by 5% or more;female;45-54;full or part time;high (Degree);mortgage
1238;up by 4% but less than 5%;female;25-34;full or part time;high (Degree);mortgage
1239;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
1240;up by 5% or more;female;45-54;full or part time;high (Degree);owned outright
1241;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
1242;Gone down;female;45-54;full or part time;low (GCSE);owned outright
1243;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1244;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1245;up by 5% or more;male;65+;not working;medium (A-Level);mortgage
1246;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
1247;Gone down;female;65+;not working;medium (A-Level);owned outright
1248;up by 2% but less than 3%;female;65+;not working;medium (A-Level);mortgage
1249;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1250;up by 5% or more;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
1251;up by 4% but less than 5%;male;15-24;full or part time;medium (A-Level);mortgage
1252;up by 4% but less than 5%;female;25-34;full or part time;medium (A-Level);mortgage
1253;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);mortgage
1254;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
1255;up by 4% but less than 5%;female;55-64;full or part time;medium (A-Level);owned outright
1256;up by 4% but less than 5%;female;25-34;full or part time;high (Degree);mortgage
1257;up by 5% or more;female;35-44;not working;low (GCSE);other (inc private rent pre-2016)
1258;up by 5% or more;female;65+;not working;low (GCSE);owned outright
1259;Gone down;female;45-54;full or part time;low (GCSE);other (inc private rent pre-2016)
1260;up by 4% but less than 5%;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1261;up by 4% but less than 5%;female;35-44;not working;high (Degree);mortgage
1262;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
1263;up by 5% or more;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
1264;up by 5% or more;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
1265;up by 4% but less than 5%;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1266;up by 5% or more;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1267;up by 2% but less than 3%;female;45-54;not working;low (GCSE);mortgage
1268;not changed;male;65+;not working;low (GCSE);owned outright
1269;Gone down;female;15-24;not working;medium (A-Level);mortgage
1270;Gone down;male;65+;not working;medium (A-Level);council rent
1271;up by 1% but less than 2%;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
1272;up by 5% or more;male;55-64;not working;low (GCSE);other (inc private rent pre-2016)
1273;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);mortgage
1274;up by 5% or more;male;45-54;not working;low (GCSE);council rent
1275;up by 1% but less than 2%;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1276;up by 2% but less than 3%;female;65+;not working;low (GCSE);council rent
1277;up by 3% but less than 4%;male;65+;not working;medium (A-Level);council rent
1278;up by 1% or less;female;25-34;not working;medium (A-Level);mortgage
1279;up by 5% or more;female;35-44;full or part time;medium (A-Level);owned outright
1280;Gone down;female;15-24;not working;medium (A-Level);owned outright
1281;up by 5% or more;female;55-64;not working;low (GCSE);other (inc private rent pre-2016)
1282;not changed;male;55-64;full or part time;medium (A-Level);mortgage
1283;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
1284;up by 5% or more;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
1285;Gone down;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
1286;up by 4% but less than 5%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1287;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
1288;up by 3% but less than 4%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
1289;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
1290;up by 1% but less than 2%;male;45-54;full or part time;medium (A-Level);mortgage
1291;not changed;male;65+;not working;high (Degree);owned outright
1292;Gone down;male;25-34;full or part time;medium (A-Level);mortgage
1293;Gone down;male;65+;not working;medium (A-Level);owned outright
1294;not changed;female;55-64;full or part time;medium (A-Level);owned outright
1295;Gone down;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
1296;Gone down;male;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
1297;Gone down;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
1298;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);owned outright
1299;up by 1% but less than 2%;male;25-34;full or part time;medium (A-Level);mortgage
1300;up by 1% but less than 2%;male;45-54;not working;low (GCSE);council rent
1301;up by 5% or more;male;25-34;full or part time;medium (A-Level);mortgage
1302;up by 1% but less than 2%;female;45-54;full or part time;low (GCSE);mortgage
1303;up by 1% but less than 2%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
1304;up by 5% or more;male;35-44;full or part time;low (GCSE);mortgage
1305;not changed;female;15-24;not working;medium (A-Level);mortgage
1306;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
1307;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);mortgage
1308;up by 1% but less than 2%;male;55-64;not working;high (Degree);mortgage
1309;not changed;female;45-54;not working;medium (A-Level);mortgage
1310;up by 5% or more;male;45-54;full or part time;high (Degree);owned outright
1311;up by 5% or more;female;15-24;not working;medium (A-Level);mortgage
1312;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
1313;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);mortgage
1314;up by 5% or more;male;45-54;full or part time;medium (A-Level);owned outright
1315;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);mortgage
1316;not changed;female;15-24;full or part time;medium (A-Level);mortgage
1317;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1318;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
1319;not changed;male;35-44;full or part time;high (Degree);mortgage
1320;up by 5% or more;female;45-54;not working;medium (A-Level);mortgage
1321;up by 2% but less than 3%;female;25-34;not working;high (Degree);mortgage
1322;up by 5% or more;male;65+;full or part time;medium (A-Level);owned outright
1323;up by 1% or less;male;25-34;not working;low (GCSE);council rent
1324;up by 4% but less than 5%;female;35-44;full or part time;low (GCSE);council rent
1325;up by 1% but less than 2%;male;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
1326;up by 5% or more;male;45-54;full or part time;low (GCSE);council rent
1327;up by 1% but less than 2%;female;45-54;full or part time;high (Degree);mortgage
1328;up by 5% or more;female;65+;not working;low (GCSE);council rent
1329;up by 5% or more;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
1330;up by 3% but less than 4%;male;35-44;full or part time;medium (A-Level);mortgage
1331;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
1332;up by 5% or more;male;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
1333;up by 4% but less than 5%;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
1334;up by 2% but less than 3%;male;55-64;not working;low (GCSE);owned outright
1335;up by 3% but less than 4%;male;65+;not working;medium (A-Level);owned outright
1336;up by 5% or more;female;65+;not working;low (GCSE);owned outright
1337;not changed;female;45-54;full or part time;high (Degree);mortgage
1338;up by 5% or more;male;55-64;full or part time;medium (A-Level);mortgage
1339;up by 5% or more;female;45-54;not working;medium (A-Level);mortgage
1340;not changed;female;35-44;full or part time;high (Degree);council rent
1341;not changed;male;25-34;full or part time;low (GCSE);council rent
1342;up by 1% but less than 2%;female;55-64;not working;medium (A-Level);council rent
1343;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
1344;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);council rent
1345;Gone down;female;65+;not working;low (GCSE);owned outright
1346;up by 1% or less;male;55-64;full or part time;high (Degree);mortgage
1347;up by 5% or more;female;35-44;full or part time;high (Degree);mortgage
1348;Gone down;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
1349;up by 5% or more;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1350;Gone down;female;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
1351;up by 1% or less;female;15-24;not working;high (Degree);other (inc private rent pre-2016)
1352;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);owned outright
1353;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);mortgage
1354;up by 1% or less;male;15-24;full or part time;medium (A-Level);mortgage
1355;Gone down;female;45-54;full or part time;low (GCSE);mortgage
1356;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);mortgage
1357;Gone down;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
